reactants	products	reaction_type	set
CCOC(=O)C1CC=C(c2ncc(-c3cn4c(Cc5ccccc5OC(F)F)c(C)nc4cc3F)cn2)CC1	CCOC(=O)C1CCC(c2ncc(-c3cn4c(Cc5ccccc5OC(F)F)c(C)nc4cc3F)cn2)CC1	<RX_7>	train
BrCC1CCCCO1.O=C1Nc2ccccc2C12COc1cc3c(cc12)CCO3	O=C1N(CC2CCCCO2)c2ccccc2C12COc1cc3c(cc12)CCO3	<RX_1>	train
CC(C)(C)OC(=O)NC(=N)c1ccc(C(=O)O)cc1.COC(=O)Nc1ccc(-c2cnc([C@@H]3C[C@H](C4CCN(S(C)(=O)=O)CC4)CN3)[nH]2)cc1	COC(=O)Nc1ccc(-c2cnc([C@@H]3C[C@H](C4CCN(S(C)(=O)=O)CC4)CN3C(=O)c3ccc(C(=N)NC(=O)OC(C)(C)C)cc3)[nH]2)cc1	<RX_2>	train
COC(=O)c1ccc(N2CCN(C)CC2)c(F)c1	CN1CCN(c2ccc(C(=O)O)cc2F)CC1	<RX_6>	train
CCCCCCCCCCCBr.O=Cc1ccccc1O	CCCCCCCCCCCOc1ccccc1C=O	<RX_1>	train
CI.Nc1cccc2c(=O)[nH]c3ccccc3c(=O)c12	Cn1c(=O)c2cccc(N)c2c(=O)c2ccccc21	<RX_1>	test
C=C(C)C(=O)Cl.CC(C)c1cccc(C(C)C)c1N1C(=O)c2ccc3c4cccc5c(C#CCCCCO)ccc(c6ccc(c2c36)C1=O)c54	C=C(C)C(=O)OCCCCC#Cc1ccc2c3ccc4c5c(ccc(c6cccc1c62)c53)C(=O)N(c1c(C(C)C)cccc1C(C)C)C4=O	<RX_2>	train
CNCC(O)c1c[nH]c2ccccc12.Cn1cc(C(=O)NCc2ccc(Cl)cc2)c(=O)c2sc(CCl)cc21	CN(Cc1cc2c(s1)c(=O)c(C(=O)NCc1ccc(Cl)cc1)cn2C)CC(O)c1c[nH]c2ccccc12	<RX_1>	valid
COc1ccc2c(=O)c3ccccc3oc2c1	COc1ccc2c(c1)Oc1ccccc1C2	<RX_7>	train
CC1(C)CCC=C1B1OC(C)(C)C(C)(C)O1.CCOC(=O)C[C@@H](c1ccc(OCc2ccc(Cl)c(OC(F)(F)F)c2)cc1)c1ccon1	CCOC(=O)C[C@@H](c1ccc(OCc2ccc(C3=CCCC3(C)C)c(OC(F)(F)F)c2)cc1)c1ccon1	<RX_3>	train
FC(F)(F)CNCc1ccccc1.O=C(O)c1cc(Cl)ncn1	O=C(c1cc(Cl)ncn1)N(Cc1ccccc1)CC(F)(F)F	<RX_2>	valid
CC(=O)c1ccc(NS(=O)(=O)c2ccc3nc(Cl)ccc3c2)nc1.CN1CCNCC1	CC(=O)c1ccc(NS(=O)(=O)c2ccc3nc(N4CCN(C)CC4)ccc3c2)nc1	<RX_1>	train
N#CCC(=O)c1ccccc1	N#CC[C@H](O)c1ccccc1	<RX_7>	test
Nc1ccccc1S(N)(=O)=O.O=S(=O)(Cl)c1cccc(Cl)c1F	NS(=O)(=O)c1ccccc1NS(=O)(=O)c1cccc(Cl)c1F	<RX_2>	train
COC(=O)c1cc2nc(-c3ccccc3)nn2cc1C	Cc1cn2nc(-c3ccccc3)nc2cc1C(=O)O	<RX_6>	train
COc1cccc(-c2ccc(C)cc2N)c1.Cc1ccc2c(Cl)ccnc2n1	COc1cccc(-c2ccc(C)cc2Nc2ccnc3nc(C)ccc23)c1	<RX_1>	train
COc1cccc2c1CCC2N(Cc1nc(-c2ccccc2)c(-c2ccccc2)o1)C(=O)C(F)(F)F	COc1cccc2c1CCC2NCc1nc(-c2ccccc2)c(-c2ccccc2)o1	<RX_6>	test
COC(=O)c1ccc(C#Cc2cccc(F)c2)cn1	O=C(O)c1ccc(C#Cc2cccc(F)c2)cn1	<RX_6>	train
Cn1cc(-c2c[nH]c3ncc(N)cc23)cn1.O=C(Cl)c1ccc(F)cc1	Cn1cc(-c2c[nH]c3ncc(NC(=O)c4ccc(F)cc4)cc23)cn1	<RX_2>	train
CC(=O)N1CCNCC1C.O=C(O)c1cn(C2CC2)c2cc(F)c(F)c(NCc3ccccc3)c2c1=O	CC(=O)N1CCN(c2cc3c(c(NCc4ccccc4)c2F)c(=O)c(C(=O)O)cn3C2CC2)CC1C	<RX_1>	valid
CC(C)(C)N=C=O.Nc1cccc(C2(F)CCN(CCOc3ccccc3)CC2)c1	CC(C)(C)NC(=O)Nc1cccc(C2(F)CCN(CCOc3ccccc3)CC2)c1	<RX_2>	train
Cc1cc2c(-c3ccccc3)c(CO)n(C)c(=O)c2cc1C	Cc1cc2c(-c3ccccc3)c(C=O)n(C)c(=O)c2cc1C	<RX_8>	train
CC[C@@H]1c2c(C#N)ncn2-c2cnc(Nc3ccc(C(=O)O)cc3OC)nc2N1C(C)C.NC1CCN(C2CCN(CC3CC3)CC2)CC1	CC[C@@H]1c2c(C#N)ncn2-c2cnc(Nc3ccc(C(=O)NC4CCN(C5CCN(CC6CC6)CC5)CC4)cc3OC)nc2N1C(C)C	<RX_2>	train
CC(C)(C)C(=O)O.C[C@@H](c1ccc(Br)cc1)N1CC[C@](CC(C)(C)N)(c2ccccc2)OC1=O	C[C@@H](c1ccc(Br)cc1)N1CC[C@](CC(C)(C)NC(=O)C(C)(C)C)(c2ccccc2)OC1=O	<RX_2>	train
CCCCc1cc(N2CCNCC2)c2nc(CCC(=O)OC)ccc2c1.O=C(O)Cc1ccc(OCCCN2CCCCCC2)cc1	CCCCc1cc(N2CCN(C(=O)Cc3ccc(OCCCN4CCCCCC4)cc3)CC2)c2nc(CCC(=O)OC)ccc2c1	<RX_2>	train
CC(C)NC(=O)c1cn(COCC[Si](C)(C)C)c2ncc(Oc3ccc4c(c3)[C@H](N)CC4)nc12.CS(=O)(=O)Cl	CC(C)NC(=O)c1cn(COCC[Si](C)(C)C)c2ncc(Oc3ccc4c(c3)[C@H](NS(C)(=O)=O)CC4)nc12	<RX_2>	train
CC(=O)OCC(=O)NC1CCN(Cc2ccn3ncnc(Nc4ccc5c(cnn5Cc5cccc(F)c5)c4)c23)CC1	O=C(CO)NC1CCN(Cc2ccn3ncnc(Nc4ccc5c(cnn5Cc5cccc(F)c5)c4)c23)CC1	<RX_6>	train
C=O.CNC.COC(=O)c1cccc(-n2cccc2)c1	COC(=O)c1cccc(-n2cccc2CN(C)C)c1	<RX_3>	train
COc1ccc2ccccc2c1Br.COc1ccc2ccccc2c1N	COc1ccc2ccccc2c1Nc1c(OC)ccc2ccccc12	<RX_1>	train
CC(C)(C)OC(=O)NCC[C@@H](Oc1cc(Cl)c(F)cc1C#N)c1ccoc1	O=C(O)/C=C/C(=O)O	<RX_6>	train
Cc1cc(N)c(O)cc1C.O=C(Cl)Oc1ccccc1	Cc1cc(O)c(NC(=O)Oc2ccccc2)cc1C	<RX_2>	train
COc1ccc(CC(=O)O)nc1.N#Cc1ccc(-c2ccc3c(c2)CC[C@H]3N2CC3(CCNCC3)C2)nc1	COc1ccc(CC(=O)N2CCC3(CC2)CN([C@@H]2CCc4cc(-c5ccc(C#N)cn5)ccc42)C3)nc1	<RX_2>	train
Cc1c[nH]cn1.O=Cc1ccc(F)c(F)c1	Cc1cn(-c2ccc(C=O)cc2F)cn1	<RX_1>	test
COc1ccc(Cl)cc1S(=O)(=O)N1CCOc2ncc(C(=O)Nc3ccc(C(=O)OC(C)(C)C)cc3)cc21	COc1ccc(Cl)cc1S(=O)(=O)N1CCOc2ncc(C(=O)Nc3ccc(C(=O)O)cc3)cc21	<RX_6>	train
COC(=O)c1cc(O)cc([N+](=O)[O-])c1.Fc1ccccc1CBr	COC(=O)c1cc(OCc2ccccc2F)cc([N+](=O)[O-])c1	<RX_1>	train
CCOC(=O)CC1CCNCC1.COc1cccc([C@H]2O[C@H](CCC(=O)O)c3ccc(-c4nn[nH]n4)n3-c3ccc(Cl)cc32)c1OC	CCOC(=O)CC1CCN(C(=O)CC[C@H]2O[C@H](c3cccc(OC)c3OC)c3cc(Cl)ccc3-n3c(-c4nn[nH]n4)ccc32)CC1	<RX_2>	test
COc1cc(-c2ccccc2)cc(-c2ccccc2)c1	Oc1cc(-c2ccccc2)cc(-c2ccccc2)c1	<RX_6>	train
O=Cc1ccc([N+](=O)[O-])cc1.OCCO	O=[N+]([O-])c1ccc(C2OCCO2)cc1	<RX_5>	train
CCOC(=O)c1cnn2c(O)c(C(=O)O)cnc12.Fc1cccc2c1C1(CCNCC1)CO2	CCOC(=O)c1cnn2c(O)c(C(=O)N3CCC4(CC3)COc3cccc(F)c34)cnc12	<RX_2>	train
CC(C)(O)CN.Cc1nn(-c2ccc(C#N)c(Cl)c2)c(C)c1Oc1ccc(C(=O)O)cc1	Cc1nn(-c2ccc(C#N)c(Cl)c2)c(C)c1Oc1ccc(C(=O)NCC(C)(C)O)cc1	<RX_2>	train
Oc1cccc2ccccc12	c1ccc2ccccc2c1	<RX_9>	train
CCCC[Sn](CCCC)(CCCC)c1cccs1.O=[N+]([O-])c1ccccc1I	O=[N+]([O-])c1ccccc1-c1cccs1	<RX_3>	train
BrCc1ccc(Br)nc1.[C-]#N	N#CCc1ccc(Br)nc1	<RX_9>	train
CC(C)[Si](OCC[C@H](C)OS(C)(=O)=O)(C(C)C)C(C)C.Oc1cc(F)ccc1F	CC(C)[Si](OCC[C@@H](C)Oc1cc(F)ccc1F)(C(C)C)C(C)C	<RX_1>	test
CC(C)(C)OC(=O)N1CCc2cccc3[nH]cc(c23)C1	c1cc2c3c(c[nH]c3c1)CNCC2	<RX_6>	train
COC(=O)c1cc2[nH]c(-c3ccc(Cl)cc3)c(C3=CCCCC3)c2s1	COC(=O)c1cc2[nH]c(-c3ccc(Cl)cc3)c(C3CCCCC3)c2s1	<RX_7>	train
O=C(O)[C@@H]1C[C@@H](C(=O)O)N(C(=O)OCc2ccccc2)C1	O=C(O)[C@H]1CN[C@H](C(=O)O)C1	<RX_6>	train
CCC1(CN)COCOC1.CCCCCC/C=C/C(=O)O	CCCCCC/C=C/C(=O)NCC1(CC)COCOC1	<RX_2>	train
NCC1CCCO1.O=S(=O)(Cl)c1ccc(I)cc1	O=S(=O)(NCC1CCCO1)c1ccc(I)cc1	<RX_2>	train
CC(C)(C(=O)Cl)c1cc(Cl)cc(Cl)c1.CN[C@@H]1CN(Cc2ccccc2)C[C@H]1c1ccc(F)cc1	CN(C(=O)C(C)(C)c1cc(Cl)cc(Cl)c1)[C@@H]1CN(Cc2ccccc2)C[C@H]1c1ccc(F)cc1	<RX_2>	train
CC1(C)C=C(c2ccc(F)cc2)c2ccc(N)cc2O1.CS(=O)(=O)Cl	CC1(C)C=C(c2ccc(F)cc2)c2ccc(NS(C)(=O)=O)cc2O1	<RX_2>	train
BrC(Br)(Br)Br.CO[C@H](c1ccc(C(F)(F)F)cc1CO)C1CCCCC1	CO[C@H](c1ccc(C(F)(F)F)cc1CBr)C1CCCCC1	<RX_9>	train
CC(C)(C)OC(=O)OC(=O)OC(C)(C)C.CCOC(=O)[C@H]1C[C@H](O)CN1	CCOC(=O)[C@H]1C[C@H](O)CN1C(=O)OC(C)(C)C	<RX_5>	test
CC(=O)Nc1ccc(Br)c([N+](=O)[O-])c1	CC(=O)Nc1ccc(Br)c(N)c1	<RX_7>	valid
CC(=O)Cl.COc1ccc(-c2ncc3n2CNc2ccccc2-3)cc1	COc1ccc(-c2ncc3n2CN(C(C)=O)c2ccccc2-3)cc1	<RX_2>	train
Cc1ccc2cnc(Cl)nc2c1Br.O=C1CCC(=O)N1Br	Clc1ncc2ccc(CBr)c(Br)c2n1	<RX_10>	train
CC1(C)CCC(CBr)O1.CC1(C)OB(c2cccc(O)c2)OC1(C)C	CC1(C)CCC(COc2cccc(B3OC(C)(C)C(C)(C)O3)c2)O1	<RX_1>	train
CCN(CC)c1ccc(NC(=O)c2cccc(C(=O)N(C)CCN(CCOC)CCOCCOCCOCCC(=O)OC(C)(C)C)c2)c(-c2ccc(C(=O)NCc3cccc(C(F)(F)F)c3)cn2)c1	CCN(CC)c1ccc(NC(=O)c2cccc(C(=O)N(C)CCN(CCOC)CCOCCOCCOCCC(=O)O)c2)c(-c2ccc(C(=O)NCc3cccc(C(F)(F)F)c3)cn2)c1	<RX_6>	train
CCc1nc(-c2ccc(OC)cc2OC)c(CC)nc1Cl.Cc1ccc(C)c(B(O)O)c1	CCc1nc(-c2ccc(OC)cc2OC)c(CC)nc1-c1cc(C)ccc1C	<RX_3>	train
NC(Cc1ccc(C(F)(F)F)c(F)c1)C(O)c1ccc(F)cc1.O=C(Cl)CCc1ccccc1	O=C(CCc1ccccc1)NC(Cc1ccc(C(F)(F)F)c(F)c1)C(O)c1ccc(F)cc1	<RX_2>	train
CCC1c2ccccc2-c2cc(Br)ccc2N1S(=O)(=O)c1ccc(OC)cc1	CCC1c2ccccc2-c2cc(Br)ccc2N1S(=O)(=O)c1ccc(O)cc1	<RX_6>	train
CC(=O)c1cc(Cl)c2cccnc2c1N1CCN(C(=O)c2c(C)noc2C)CC1.[BH3-]C#N	Cc1noc(C)c1C(=O)N1CCN(c2c(C(C)N)cc(Cl)c3cccnc23)CC1	<RX_1>	train
CCOC(=O)CCCOc1cccc(CCCCCCBr)c1CCC(=O)OCC.Oc1cc(Br)cc(Br)c1	CCOC(=O)CCCOc1cccc(CCCCCCOc2cc(Br)cc(Br)c2)c1CCC(=O)OCC	<RX_1>	valid
COCCC(=O)N1c2ccccc2N(Cc2c(OC)ccc3cc(Br)ccc23)C(=O)[C@@H](NC(=O)[C@H](C)N(C)C(=O)OC(C)(C)C)[C@@H]1C	CN[C@@H](C)C(=O)N[C@@H]1C(=O)N(Cc2c(OC)ccc3cc(Br)ccc23)c2ccccc2N(C(=O)CCOC)[C@H]1C	<RX_6>	valid
COc1cc2c(Cl)ncnc2cc1OCCCN1CCOCC1.Nc1c(Cl)ccc2c(Br)coc12	COc1cc2c(Nc3c(Cl)ccc4c(Br)coc34)ncnc2cc1OCCCN1CCOCC1	<RX_1>	valid
CC1(C)OB(c2cncc(S(=O)(=O)Nc3ccc(F)cc3F)c2)OC1(C)C.O=S(=O)(Oc1ccc2nccc(Cl)c2n1)C(F)(F)F	O=S(=O)(Nc1ccc(F)cc1F)c1cncc(-c2ccc3nccc(Cl)c3n2)c1	<RX_3>	train
Cc1cc([N+](=O)[O-])cnc1Cl.OB(O)c1ccc(C(F)(F)F)cc1	Cc1cc([N+](=O)[O-])cnc1-c1ccc(C(F)(F)F)cc1	<RX_3>	train
NC1(C(=O)OCc2ccccc2)CCCCC1.O=C(Cl)N1CCNC1=O	O=C1NCCN1C(=O)NC1(C(=O)OCc2ccccc2)CCCCC1	<RX_2>	train
CCOC(=O)[C@@]12C[C@H]1C=CCCCCC[C@H](NC(=O)c1cc(C)on1)C(=O)N1C[C@H](Oc3nc4cc(F)ccc4c4ccccc34)C[C@H]1C(=O)N2	Cc1cc(C(=O)N[C@H]2CCCCCC=C[C@@H]3C[C@@]3(C(=O)O)NC(=O)[C@@H]3C[C@@H](Oc4nc5cc(F)ccc5c5ccccc45)CN3C2=O)no1	<RX_6>	train
CCOC(=O)Cc1c[nH]c2ccccc12.COc1cccc(-c2ccc(Br)cc2)c1	CCOC(=O)Cc1cn(-c2ccc(-c3cccc(OC)c3)cc2)c2ccccc12	<RX_1>	train
CCOP(=O)(CC(=O)NC1CCC(O)CC1)OCC.O=Cc1cccnc1Sc1ccc(Br)cc1	O=C(/C=C/c1cccnc1Sc1ccc(Br)cc1)NC1CCC(O)CC1	<RX_3>	valid
CCOC(=O)c1cnc2cc(Cl)ccn12.Cc1nn(Cc2ccn(C(C)C)n2)c2cccc(N)c12	Cc1nn(Cc2ccn(C(C)C)n2)c2cccc(NC(=O)c3cnc4cc(Cl)ccn34)c12	<RX_2>	train
C[SiH](C)OC(Cl)[C@H]([C@H](CCl)NC(=O)OC(C)(C)C)C(C)(C)C	C[SiH](C)OC(Cl)[C@H]([C@@H]1CN1C(=O)OC(C)(C)C)C(C)(C)C	<RX_1>	train
COc1nc(N)nc2oc(-c3ccc(C4(NC(=O)OC(C)(C)C)CCC4)cc3)c(-c3ccccc3)c12	COc1nc(N)nc2oc(-c3ccc(C4(N)CCC4)cc3)c(-c3ccccc3)c12	<RX_6>	train
C#CC(O)c1c(-c2occc2C)nn2c(Cl)cccc12	C#CC(=O)c1c(-c2occc2C)nn2c(Cl)cccc12	<RX_8>	train
CCCCCCCCCCCCCCCCCCOc1cc(C(=O)O)cc([N+](=O)[O-])c1.COC(=O)CNCC(=O)OC	CCCCCCCCCCCCCCCCCCOc1cc(C(=O)N(CC(=O)OC)CC(=O)OC)cc([N+](=O)[O-])c1	<RX_2>	train
O=C(N[C@@H]1CCCc2c1ccc(CO)c2[N+](=O)[O-])C(F)(F)F	O=Cc1ccc2c(c1[N+](=O)[O-])CCC[C@H]2NC(=O)C(F)(F)F	<RX_8>	train
CC(=O)OC(C)=O.Nc1nc2c(Oc3cncc(-c4ccc(C(F)(F)F)cc4)n3)cccc2s1	CC(=O)Nc1nc2c(Oc3cncc(-c4ccc(C(F)(F)F)cc4)n3)cccc2s1	<RX_2>	train
COC1=C(OC)C(=O)C(Cc2ccc(OC(C)=O)c(C(=O)Nc3ccc(F)cc3)c2)=C(C)C1=O	COC1=C(OC)C(=O)C(Cc2ccc(O)c(C(=O)Nc3ccc(F)cc3)c2)=C(C)C1=O	<RX_7>	train
Nc1cc(Cl)c(F)c(Cl)c1.O=C([O-])Cc1nc(N2CCOCC2)cc(=O)[nH]1	O=C(Cc1nc(N2CCOCC2)cc(=O)[nH]1)Nc1cc(Cl)c(F)c(Cl)c1	<RX_2>	train
COC(=O)CCCCCCCNC(=O)c1c(C)nc2c(OCc3c(F)cccc3F)cccn12	Cc1nc2c(OCc3c(F)cccc3F)cccn2c1C(=O)NCCCCCCCC(=O)O	<RX_6>	train
CCOC(=O)N1CCc2ccc3c(c2CC1)C(O)(C1CC1)CC3	CCOC(=O)N1CCc2ccc3c(c2CC1)C(C1CC1)CC3	<RX_9>	valid
COC[C@@H](C)N[C@H]1CC[C@H](N)CC1.Clc1cc(Cl)ncn1	COC[C@@H](C)N[C@H]1CC[C@H](Nc2cc(Cl)ncn2)CC1	<RX_1>	train
C=O.NCCc1ccccc1.O=C1CCCc2c1ccc1ccccc21	O=C1c2ccc3ccccc3c2CCC1CNCCc1ccccc1	<RX_3>	train
CN(C)C(=O)[C@@H]1C[C@@H](O)CN1.COc1ccc(CO[Si](C)(C)C(C)(C)C)cc1C1(O)C(=O)Nc2ccc(Cl)cc21	COc1ccc(CO[Si](C)(C)C(C)(C)C)cc1C1(N2C[C@H](O)C[C@H]2C(=O)N(C)C)C(=O)Nc2ccc(Cl)cc21	<RX_1>	train
Nc1ccc(OC(F)(F)F)cc1.O=C(O)c1cccc(I)c1	O=C(Nc1ccc(OC(F)(F)F)cc1)c1cccc(I)c1	<RX_2>	train
O=C(CBr)Nc1ccc(-c2nc3cc(Cl)ccc3o2)cc1.Oc1cccc(F)c1	O=C(COc1cccc(F)c1)Nc1ccc(-c2nc3cc(Cl)ccc3o2)cc1	<RX_1>	test
CN(C)C=O.C[C@@H]1CN(c2c(C3OCCO3)cc(Br)c(F)c2F)C[C@H](C)O1	C[C@@H]1CN(c2c(C3OCCO3)cc(C=O)c(F)c2F)C[C@H](C)O1	<RX_3>	test
COC(=O)c1cncn1C1CSCc2ccccc21	COCc1cncn1C1CSCc2ccccc21	<RX_1>	train
CC(C)(C)OC(=O)N1CCN(CC(=O)O)CC1.COc1c(NC(=O)c2cc3cccc(CN4CCNCC4)c3n2C)cc(C(C)(C)C)cc1NS(C)(=O)=O	COc1c(NC(=O)c2cc3cccc(CN4CCN(C(=O)CN5CCN(C(=O)OC(C)(C)C)CC5)CC4)c3n2C)cc(C(C)(C)C)cc1NS(C)(=O)=O	<RX_2>	test
N#Cc1ccc(CBr)cc1F.Oc1cc(Cl)ccc1-c1nc2cc(F)c(F)cc2n1CC1CCCCC1	N#Cc1ccc(COc2cc(Cl)ccc2-c2nc3cc(F)c(F)cc3n2CC2CCCCC2)cc1F	<RX_1>	test
CCCCCCCCCCC[P+](c1ccccc1)(c1ccccc1)c1ccccc1.O=Cc1cn(C(c2ccccc2)(c2ccccc2)c2ccccc2)cn1	CCCCCCCCCCC=Cc1cn(C(c2ccccc2)(c2ccccc2)c2ccccc2)cn1	<RX_3>	train
C#CCCCOS(C)(=O)=O.c1cnc(N2CCNCC2)nc1	C#CCCCN1CCN(c2ncccn2)CC1	<RX_1>	test
C=C(B1OC(C)CC(C)(C)O1)C(F)(F)F.CC(C)(C)OC(=O)Nc1ccc(Br)cc1	C=C(c1ccc(NC(=O)OC(C)(C)C)cc1)C(F)(F)F	<RX_3>	train
O=C1NC(=O)c2ccccc21.OCCC1(COCc2cc(C(F)(F)F)cc(C(F)(F)F)c2)OCc2ccccc21	O=C1c2ccccc2C(=O)N1CCC1(COCc2cc(C(F)(F)F)cc(C(F)(F)F)c2)OCc2ccccc21	<RX_1>	train
BrCc1ccccc1.COC(=O)c1ccc(S(=O)(=O)Nc2ncc(C(F)(F)F)cc2Br)cc1	COC(=O)c1ccc(S(=O)(=O)N(Cc2ccccc2)c2ncc(C(F)(F)F)cc2Br)cc1	<RX_1>	train
CC(C)(C)OC(=O)N1CCC(C#Cc2ccc(-c3nc4nc(O[C@@H]5CO[C@H]6[C@@H]5OC[C@H]6O[Si](C)(C)C(C)(C)C)n(COCC[Si](C)(C)C)c4cc3Cl)cc2)CC1	CC(C)(C)[Si](C)(C)O[C@@H]1CO[C@H]2[C@@H]1OC[C@H]2Oc1nc2nc(-c3ccc(C#CC4CCNCC4)cc3)c(Cl)cc2n1COCC[Si](C)(C)C	<RX_6>	train
Nc1cc(Cl)ccn1.O=[N+]([O-])c1ccc(O)c(F)c1	Nc1cc(Oc2ccc([N+](=O)[O-])cc2F)ccn1	<RX_1>	train
CCOC(=O)Nc1nc2cc(F)ccc2nc1OC.COc1cccc(N2CCNCC2)c1	COc1cccc(N2CCN(C(=O)Nc3nc4cc(F)ccc4nc3OC)CC2)c1	<RX_2>	train
